date,precipitation
2024-01-01,0.0
2024-01-02,0.037781228596731574
2024-01-03,0.16600016668010587
2024-01-04,1.7180708311385804
2024-01-05,0.2171542733428939
2024-01-06,3.33102902571996
2024-01-07,0.7691662165443633
2024-01-08,4.654909019500442
2024-01-09,2.2145205180554632
2024-01-10,0.03421336443613379
2024-01-11,0.0
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,2.308598323270039
2024-01-24,3.546422101173114
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,1.32181530124394
2024-02-15,4.347523600464098
2024-02-16,0.6466033988267896
2024-02-17,5.195959873661809
2024-02-18,0.930034653192149
2024-02-19,3.9374826240543443
2024-02-20,7.3729778863161695
2024-02-21,2.651054988779863
2024-02-22,1.6338567296375313
2024-02-23,0.22687101321579328
2024-02-24,0.15235303599790265
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,1.4354605375919431
2024-03-01,8.542192879505002
2024-03-02,0.5878684562103865
2024-03-03,11.409923789801576
2024-03-04,0.3069918405627888
2024-03-05,0.0
2024-03-06,1.1576441022070667
2024-03-07,8.8671464939072
2024-03-08,0.0
2024-03-09,8.92263433233327
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,2.872785579566111
2024-03-14,13.08757614480419
2024-03-15,12.269562459877855
2024-03-16,2.14087223096337
2024-03-17,2.9492275318806214
2024-03-18,25.803489100049887
2024-03-19,20.40025319398807
2024-03-20,11.36676457712807
2024-03-21,9.968638783869281
2024-03-22,6.866028042856644
2024-03-23,0.02408899669733698
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0819630605841208
2024-03-28,11.727608532746203
2024-03-29,8.943370283282222
2024-03-30,9.514146420089899
2024-03-31,0.0
2024-04-01,1.5534483565350083
2024-04-02,1.5866217337337318
2024-04-03,13.244638416647321
2024-04-04,0.0
2024-04-05,0.8336670332725271
2024-04-06,5.099501767202236
2024-04-07,0.0
2024-04-08,8.391040473471408
2024-04-09,0.0
2024-04-10,0.0010171305308801096
2024-04-11,0.05953321492592446
2024-04-12,7.409984958374595
2024-04-13,1.74491638714431
2024-04-14,0.6690677084010832
2024-04-15,2.265520386377813
2024-04-16,25.549005778475014
2024-04-17,0.0
2024-04-18,2.036311044575791
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,11.47327591462529
2024-04-22,0.0
2024-04-23,16.56503299144463
2024-04-24,0.0
2024-04-25,0.09800116123279208
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,2.217990415608084
2024-04-29,4.352411792411386
2024-04-30,2.024564501321622
2024-05-01,23.55732260712825
2024-05-02,4.613211305293916
2024-05-03,0.0
2024-05-04,0.05344480413682364
2024-05-05,0.0
2024-05-06,10.659028338998569
2024-05-07,1.4705307734853694
2024-05-08,0.0
2024-05-09,0.25784784915819414
2024-05-10,9.352748086041052
2024-05-11,12.199353830323393
2024-05-12,6.171940478230598
2024-05-13,25.715242030190552
2024-05-14,0.042386605877975166
2024-05-15,3.772424773499192
2024-05-16,26.61175687921439
2024-05-17,1.2530776533908656
2024-05-18,0.4635930089390565
2024-05-19,1.9447160672579613
2024-05-20,11.54796702107363
2024-05-21,0.0
2024-05-22,21.46509903672413
2024-05-23,2.662700567826401
2024-05-24,0.0
2024-05-25,27.655853810101675
2024-05-26,4.044313466005223
2024-05-27,0.0
2024-05-28,0.049330783035598555
2024-05-29,1.1491859253619818
2024-05-30,12.483852012310878
2024-05-31,25.49012013195462
2024-06-01,1.5637287820031938
2024-06-02,18.490553545028796
2024-06-03,0.0
2024-06-04,3.711541757094267
2024-06-05,0.22807547442544857
2024-06-06,0.0
2024-06-07,8.366519924084844
2024-06-08,4.405976436112764
2024-06-09,4.9671812126857136
2024-06-10,0.0
2024-06-11,1.8603037100015711
2024-06-12,3.6026642809737712
2024-06-13,6.580553202186793
2024-06-14,12.610137325447377
2024-06-15,16.27810098922349
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,0.21161464259454293
2024-06-19,0.403710724813859
2024-06-20,17.069104288441288
2024-06-21,4.8940315310759015
2024-06-22,0.07753569448647983
2024-06-23,6.266215107158752
2024-06-24,0.0
2024-06-25,16.089372107648096
2024-06-26,0.3174763047986939
2024-06-27,0.7522178107215262
2024-06-28,5.472534147315281
2024-06-29,21.5132417001061
2024-06-30,0.45384520934174494
2024-07-01,0.0
2024-07-02,0.1735631431397154
2024-07-03,47.08471675073796
2024-07-04,0.6583564740192295
2024-07-05,0.3662087832655312
2024-07-06,0.14387958033778825
2024-07-07,0.3070031486453
2024-07-08,0.777482498303795
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.5708106860473512
2024-07-12,2.685466030195239
2024-07-13,0.0
2024-07-14,0.36195380894968177
2024-07-15,0.0
2024-07-16,0.7164738805886741
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,1.110314720922993
2024-07-21,1.8908500717954178
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.7166583650903258
2024-07-27,0.030608344035507547
2024-07-28,0.502336363727753
2024-07-29,1.9961435474581153
2024-07-30,0.0
2024-07-31,0.0254896182078262
2024-08-01,0.0
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,0.0
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,0.0
2024-08-09,0.0
2024-08-10,0.0
2024-08-11,0.0
2024-08-12,0.0
2024-08-13,0.0
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,0.0
2024-08-20,0.0818913907588588
2024-08-21,0.7523122566037375
2024-08-22,0.4838021256778467
2024-08-23,3.964153666054668
2024-08-24,3.41927494673986
2024-08-25,1.1076532813263975
2024-08-26,3.9309682174534166
2024-08-27,2.2942912090896157
2024-08-28,0.4792259619960965
2024-08-29,0.8622874449995477
2024-08-30,1.132512341388148
2024-08-31,0.5338130002710542
2024-09-01,0.8021950640834639
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.18788398964282127
2024-09-09,0.0
2024-09-10,5.533971821365922
2024-09-11,5.9665769728488
2024-09-12,2.4815459293886826
2024-09-13,3.2695050253308198
2024-09-14,8.527813610706069
2024-09-15,2.1132394791490747
2024-09-16,0.0
2024-09-17,2.7582037882811608
2024-09-18,0.0
2024-09-19,0.577203424716352
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,0.0
2024-09-25,1.401506173248957
2024-09-26,3.3256320066630645
2024-09-27,7.3823523488747815
2024-09-28,3.3496922929325916
2024-09-29,0.0035256088612783546
2024-09-30,0.11899884193551732
2024-10-01,5.26242080531585
2024-10-02,3.5657207967538387
2024-10-03,8.699177173098654
2024-10-04,6.648718620192365
2024-10-05,12.805600872874484
2024-10-06,0.42983725612887125
2024-10-07,1.744232381838796
2024-10-08,22.7864532224952
2024-10-09,11.341075517985436
2024-10-10,0.0
2024-10-11,1.8748257599300353
2024-10-12,2.056052618748137
2024-10-13,18.512692309729978
2024-10-14,0.0
2024-10-15,0.028990802305870395
2024-10-16,0.26363984767722604
2024-10-17,4.72680036150111
2024-10-18,4.729319066409072
2024-10-19,8.96069151885459
2024-10-20,2.491547149969225
2024-10-21,0.0
2024-10-22,0.7218803931524063
2024-10-23,2.5941553046384835
2024-10-24,4.125962642740818
2024-10-25,4.374215113583733
2024-10-26,13.304361561683457
2024-10-27,3.5487468673051903
2024-10-28,2.090284957881045
2024-10-29,20.786731787219594
2024-10-30,0.0
2024-10-31,1.8982570717105376
2024-11-01,0.4007881376784942
2024-11-02,0.0
2024-11-03,1.5877698570406105
2024-11-04,0.12171273170264253
2024-11-05,0.0
2024-11-06,0.0024770404578297136
2024-11-07,11.188078459823444
2024-11-08,1.4323898731729132
2024-11-09,0.0
2024-11-10,11.321284038618792
2024-11-11,4.340983811333847
2024-11-12,5.086892820671998
2024-11-13,4.680518262903503
2024-11-14,3.760158906212187
2024-11-15,19.48758247906748
2024-11-16,3.3107035435116012
2024-11-17,0.0
2024-11-18,2.819211975022208
2024-11-19,1.6273219639078893
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,5.922985343285363
2024-11-24,0.0
2024-11-25,0.0
2024-11-26,1.2100812305935205
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.8263706732206172
2024-12-01,1.5750476269406863
2024-12-02,0.0
2024-12-03,1.1885712784958324
2024-12-04,0.13232669621746967
2024-12-05,3.7652402453446885
2024-12-06,0.05641821011332562
2024-12-07,1.1458100719692172
2024-12-08,0.0
2024-12-09,0.029595895804661532
2024-12-10,0.0
2024-12-11,0.0
2024-12-12,0.2998602448254061
2024-12-13,0.20801404780546764
2024-12-14,0.0
2024-12-15,0.0
2024-12-16,0.0
2024-12-17,0.0
2024-12-18,0.0
2024-12-19,0.0
2024-12-20,0.05735248604238731
2024-12-21,0.0611065501923736
2024-12-22,0.0
2024-12-23,0.05613696977249427
2024-12-24,0.0
2024-12-25,0.0
2024-12-26,0.0
2024-12-27,0.0
2024-12-28,0.0
2024-12-29,0.0
2024-12-30,0.0
